kind,time_utc,a,b,c,d,e
fill,2020-01-14T21:00:00.0000000Z,IWM,-563,166.57,1,116958.72
fill,2020-01-14T21:00:00.0000000Z,SPY,170,327.45,1,61291.22
fill,2020-01-14T21:00:00.0000000Z,QQQ,194,220.08,1,18594.70
dividend,2020-03-20T04:00:00.0000000Z,SPY,1.41,2019,21441.49,
dividend,2020-03-23T04:00:00.0000000Z,QQQ,0.38,1801,22125.87,
dividend,2020-03-25T04:00:00.0000000Z,IWM,0.42,4466,24001.59,
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1488077.2600,1497,1836,5709
fill,2020-04-15T20:00:00.0000000Z,SPY,-522,277.76,1,168991.31
fill,2020-04-15T20:00:00.0000000Z,QQQ,35,209.43,1,161660.26
fill,2020-04-15T20:00:00.0000000Z,IWM,1243,117.8,1,15233.86
dividend,2020-06-15T04:00:00.0000000Z,IWM,0.47,5709,17917.09,
dividend,2020-06-19T04:00:00.0000000Z,SPY,1.37,1497,19967.98,
dividend,2020-06-22T04:00:00.0000000Z,QQQ,0.42,1836,20739.10,
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1820955.2200,1669,2001,5053
fill,2020-07-15T20:00:00.0000000Z,IWM,-656,147.03,1,117189.78
fill,2020-07-15T20:00:00.0000000Z,SPY,172,321.85,1,61830.58
fill,2020-07-15T20:00:00.0000000Z,QQQ,165,260.9,1,18781.08
dividend,2020-09-18T04:00:00.0000000Z,SPY,1.34,1669,21017.54,
dividend,2020-09-21T04:00:00.0000000Z,QQQ,0.39,2001,21797.93,
dividend,2020-09-23T04:00:00.0000000Z,IWM,0.57,5053,24678.14,
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,2020502.7300,1751,1891,5100
fill,2020-10-13T20:00:00.0000000Z,QQQ,-110,294.52,1,57074.34
fill,2020-10-13T20:00:00.0000000Z,SPY,82,350.13,1,28362.68
fill,2020-10-13T20:00:00.0000000Z,IWM,47,162.7,1,20714.78
dividend,2020-12-14T05:00:00.0000000Z,IWM,0.59,5100,23723.78,
dividend,2020-12-18T05:00:00.0000000Z,SPY,1.58,1751,26490.36,
dividend,2020-12-21T05:00:00.0000000Z,QQQ,0.56,1891,27549.32,
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,2245055.8200,1874,1976,4753
fill,2021-01-04T21:00:00.0000000Z,IWM,-347,193.5,1,94692.82
fill,2021-01-04T21:00:00.0000000Z,SPY,123,368.79,1,49330.65
fill,2021-01-04T21:00:00.0000000Z,QQQ,85,309.31,1,23038.30
dividend,2021-03-19T04:00:00.0000000Z,SPY,1.28,1874,25437.02,
dividend,2021-03-22T04:00:00.0000000Z,QQQ,0.39,1976,26207.66,
dividend,2021-03-25T04:00:00.0000000Z,IWM,0.40,4753,28108.86,
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2451559.9800,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-1874,396.33,1,770830.28
fill,2021-03-31T20:00:00.0000000Z,QQQ,-1976,319.13,1,1401430.16
fill,2021-03-31T20:00:00.0000000Z,IWM,-4753,220.94,1,2451556.98
final,2021-03-31T20:00:00.0000000Z,2451556.98,0,0,0,
